Geo Point,PrimarySiteFunctionalLocation,Primary,PrimaryAlias,PrimarySubstationName,FirmCapacitySummer,FirmCapacityWinter,DemandHeadroom,DemandRAG,SeasonOfConstraint
"51.95775257949532, 1.3165770157366832",EPN-S0000000H1060,D29 DOCK RD PRIMARY,0H1060,Dock Rd Primary 11kV,16.6,22.0,63.25%,Green (Over 5% headroom),Summer
"52.43883820599848, 0.9679885939027312",EPN-S0000000H1064,B22 KENNINGHALL PRIMARY,0H1064,Kenninghall Primary 11kV,11.0,11.0,-3.64%,Yellow (Between 5% overloaded and 5% headroom),Winter
"52.37960270160836, 0.4627133900039677",EPN-S0000000H1066,B23 MILDENHALL PRIMARY,0H1066,Mildenhall Primary 11kV,17.3,19.0,8.42%,Green (Over 5% headroom),Winter
"52.32090926344572, 1.0161685216792855",EPN-S0000000H1073,B24 RICKINGHALL PRIMARY,0H1073,Rickinghall Primary 11kV,11.0,14.4,49.09%,Green (Over 5% headroom),Summer
"51.93145235589689, 1.2541381520425119",EPN-S0000000H3003,J50 DOVERCOURT PRIMARY,0H3003,Dovercourt Primary 11kV,16.6,21.9,33.73%,Green (Over 5% headroom),Summer
"51.86748545123755, 0.2618939025203303",EPN-S0000000H3008,A49 TAKELEY PRIMARY,0H3008,Takeley Primary 11kV,8.6,9.2,27.17%,Green (Over 5% headroom),Winter
"51.901355496348174, 0.5780573426957165",EPN-S0000000H3014,A16 BRAINTREE DEPOT PRIMARY,0H3014,Braintree Depot Primary 11kV,28.8,37.4,33.16%,Green (Over 5% headroom),Winter
"51.84041725246133, 1.1721616293936274",EPN-S0000000H3027,J48 CLACTON GRID,0H3027,Clacton 11kV,17.3,23.0,46.96%,Green (Over 5% headroom),Winter
"51.92601147284787, 1.021383879823109",EPN-S0000000H3028,J43 FOXASH PRIMARY,0H3028,Foxash Primary 11kV,9.6,11.5,15.65%,Green (Over 5% headroom),Winter
"51.88715025456775, 0.7761236477429203",EPN-S0000000H3049,J45 MARKS TEY PRIMARY,0H3049,Marks Tey Primary 11kV,10.6,14.4,43.4%,Green (Over 5% headroom),Summer
"51.818731598009464, 0.6104018040285079",EPN-S0000000H3054,A55 WITHAM PRIMARY,0H3054,Witham Primary 11kV,33.1,44.2,41.99%,Green (Over 5% headroom),Summer
"51.905626292953144, 1.1564749861108905",EPN-S0000000H3055,J49 WIX PRIMARY,0H3055,Wix Primary 11kV,10.6,14.4,55.56%,Green (Over 5% headroom),Winter
"51.74176212952825, 0.5349701066687023",EPN-S0000000H3058,A59 CHELMSFORD EAST LOCAL,0H3058,Chelmsford East Local 11kV,13.4,13.4,21.64%,Green (Over 5% headroom),Winter
"51.78892101572124, 1.1204841437564177",EPN-S0000000H3063,J53 OLD RD PRIMARY,0H3063,Old Rd Primary 11kV,14.4,17.8,4.49%,Yellow (Between 5% overloaded and 5% headroom),Winter
"51.6761009520205, 0.8834782573027097",EPN-S0000000H3064,A50 TILLINGHAM PRIMARY,0H3064,Tillingham Primary 11kV,17.3,20.1,73.99%,Green (Over 5% headroom),Summer
"51.867474363679946, 0.3669107765397657",EPN-S0000000H3068,A25 DUNMOW PRIMARY,0H3068,Dunmow Primary 11kV,16.6,22.9,41.92%,Green (Over 5% headroom),Winter
"51.68039211018905, 0.393795303393682",EPN-S0000000H3072,A32 INGATESTONE PRIMARY,0H3072,Ingatestone Primary 11kV,9.6,11.5,26.09%,Green (Over 5% headroom),Winter
"52.17095414561914, 0.129448820664461",EPN-S0000000H4011,E13 RADNOR PRIMARY,0H4011,Radnor Primary 11kV,27.4,36.5,27.37%,Green (Over 5% headroom),Summer
"52.333900763151554, 0.3216251784006768",EPN-S0000000H4013,E69 SOHAM PRIMARY,0H4013,Soham Primary 11kV,17.3,21.9,37.9%,Green (Over 5% headroom),Winter
"51.9999239696325, 0.1769904197304158",EPN-S0000000H4032,E21 SAFFRON WALDEN PRIMARY,0H4032,Saffron Walden Primary 11kV,17.3,21.4,11.21%,Green (Over 5% headroom),Winter
"52.0404078054811, -0.4378361439379377",EPN-S0000000H4034,A01 AMPTHILL PRIMARY,0H4034,Ampthill Primary 11kV,13.8,18.7,5.8%,Green (Over 5% headroom),Summer
"52.265229052973275, -0.10968307613989567",EPN-S0000000H4041,B65 HILTON PRIMARY,0H4041,Hilton Primary 11kV,6.2,7.7,6.45%,Green (Over 5% headroom),Summer
"52.3443210202202, -0.03843159435970759",EPN-S0000000H4046,B62 ST IVES PRIMARY,0H4046,St Ives Primary 11kV,25.4,31.6,24.41%,Green (Over 5% headroom),Summer
"52.024694124937284, 0.2866508305389819",EPN-S0000000H4048,E68 ACROWS PRIMARY,0H4048,Acrows Primary 11kV,19.2,19.2,60.42%,Green (Over 5% headroom),Winter
"52.075837671584566, -0.5599139769720045",EPN-S0000000H4052,B44 MARSTON RD PRIMARY,0H4052,Marston Rd Primary 11kV,9.2,12.5,21.74%,Green (Over 5% headroom),Summer
"52.133680036379104, -0.274741980035871",EPN-S0000000H4053,B60 SANDY PRIMARY,0H4053,Sandy Primary 11kV,22.1,25.9,23.55%,Green (Over 5% headroom),Winter
"52.214797230190385, 0.1534269045924097",EPN-S0000000H4057,E07 BARNWELL PRIMARY,0H4057,Barnwell Primary 11kV,14.4,18.7,42.25%,Green (Over 5% headroom),Winter
"52.37805038206034, -0.3562637875278412",EPN-S0000000H4060,B50 BRINGTON PRIMARY,0H4060,Brington Primary 11kV,6.2,6.3,11.11%,Green (Over 5% headroom),Winter
"52.21380422893161, 0.04447972241061092",EPN-S0000000H4070,E73 MADINGLEY RD PRIMARY,0H4070,Madingley Rd Primary 11kV,25.0,32.1,60%,Green (Over 5% headroom),Summer
"52.26294084600274, 0.30760700567103505",EPN-S0000000H4083,E64 BURWELL PRIMARY,0H4083,Burwell Primary 11kV,9.6,12.5,46.88%,Green (Over 5% headroom),Summer
"52.32297074475114, -0.13961673055625154",EPN-S0000000H4085,B61 GODMANCHESTER PRIMARY,0H4085,Godmanchester Primary 11kV,9.1,9.5,3.16%,Yellow (Between 5% overloaded and 5% headroom),Winter
"52.19611890976093, 0.10977442664386101",EPN-S0000000H4088,E12 ST ANTHONY ST PRIMARY,0H4088,St Anthony St Primary 11kV,16.6,21.9,5.42%,Green (Over 5% headroom),Summer
"52.53683324254656, 1.6837704324557883",EPN-S0000000H5003,H24 BRADWELL PRIMARY,0H5003,Bradwell Primary 11kV,16.6,22.1,32.53%,Green (Over 5% headroom),Summer
"52.46612291747493, 1.4124718837531167",EPN-S0000000H5004,H16 BUNGAY PRIMARY,0H5004,Bungay Primary 11kV,16.6,22.1,32.53%,Green (Over 5% headroom),Summer
"52.67899665302017, 0.9442451063461963",EPN-S0000000H5016,L05 EAST DEREHAM PRIMARY,0H5016,East Dereham Primary 11kV,27.4,36.5,31.39%,Green (Over 5% headroom),Summer
"52.43605457202558, 1.6597848098351107",EPN-S0000000H5018,H18 HENSTEAD PRIMARY,0H5018,Henstead Primary 11kV,11.0,14.4,36.36%,Green (Over 5% headroom),Summer
"52.56063128131434, 1.6705033077054259",EPN-S0000000H5021,H10 MAGDALEN WAY PRIMARY,0H5021,Magdalen Way Primary 11kV,17.3,23.0,22.54%,Green (Over 5% headroom),Summer
"52.554129105133, 1.2631440111318437",EPN-S0000000H5022,L13 MULBARTON PRIMARY,0H5022,Mulbarton Primary 11kV,11.0,14.4,29.09%,Green (Over 5% headroom),Summer
"52.71201661177352, 1.4277982620956453",EPN-S0000000H5025,L25 WROXHAM PRIMARY,0H5025,Wroxham Primary 11kV,9.6,12.5,19.79%,Green (Over 5% headroom),Summer
"52.214619547833, 1.446510021842145",EPN-S0000000H5027,H38 BENHALL PRIMARY,0H5027,Benhall Primary 11kV,9.6,12.5,58.33%,Green (Over 5% headroom),Summer
"52.85284004665633, 1.4326345702749532",EPN-S0000000H5034,L11 KNAPTON PRIMARY,0H5034,Knapton Primary 11kV,22.1,28.7,63.35%,Green (Over 5% headroom),Summer
"52.909215805896174, 1.1687486393263995",EPN-S0000000H5038,L24 WEST BECKHAM PRIMARY,0H5038,West Beckham Primary 11kV,13.7,16.5,30.91%,Green (Over 5% headroom),Winter
"52.78231858613416, 1.4125912205414901",EPN-S0000000H5048,L36 WORSTEAD PRIMARY,0H5048,Worstead Primary 11kV,2.4,2.9,-24.14%,Red (More than 5% overloaded),Winter
"52.662661066737435, 1.2950397955553705",EPN-S0000000H5052,L07 GEORGE HILL PRIMARY,0H5052,George Hill Primary 11kV,16.6,22.1,11.45%,Green (Over 5% headroom),Summer
"52.32996807124179, 1.6261725037781083",EPN-S0000000H5055,H19 REYDON PRIMARY,0H5055,Reydon Primary 11kV,7.2,8.6,34.88%,Green (Over 5% headroom),Winter
"52.63436766232605, 1.179427732092209",EPN-S0000000H5065,L40 EARLHAM GRID LOCAL,0H5065,Earlham Grid Local 11kV,18.9,22.9,30.16%,Green (Over 5% headroom),Summer
"52.389220022561254, 1.3037887318966908",EPN-S0000000H5068,H15 HARLESTON PRIMARY,0H5068,Harleston Primary 11kV,11.0,14.4,30%,Green (Over 5% headroom),Summer
"52.786398357545835, 1.1260095680672735",EPN-S0000000H5069,L15 SALL 11KV,0H5069,Sall 11kV,11.5,11.5,17.39%,Green (Over 5% headroom),Winter
"52.62718262476102, 1.2870122279163323",EPN-S0000000H5071,L19 ST STEPHENS PRIMARY,0H5071,St Stephens Primary 11kV,28.8,36.6,33.33%,Green (Over 5% headroom),Summer
"52.60132398881673, 1.549691226877624",EPN-S0000000H5074,L33 BEIGHTON PRIMARY,0H5074,Beighton Primary 11kV,11.0,14.4,39.09%,Green (Over 5% headroom),Summer
"52.49919037620509, 1.2301799054333775",EPN-S0000000H5079,L08 HAPTON PRIMARY,0H5079,Hapton Primary 11kV,16.6,23.0,56.63%,Green (Over 5% headroom),Summer
"52.47472805653172, 1.5582850295637825",EPN-S0000000H5086,H17 BARSHAM PRIMARY,0H5086,Barsham Primary 11kV,9.6,12.5,8.33%,Green (Over 5% headroom),Summer
"52.77121754863641, 0.39460831496641013",EPN-S0000000H6002,G08 AUSTIN STREET PRIMARY,0H6002,Austin Street Primary 11kV,28.8,36.6,47.22%,Green (Over 5% headroom),Summer
"52.93188014473027, 0.8702926384241245",EPN-S0000000H6004,G02 EGMERE PRIMARY,0H6004,Egmere Primary 11kV,3.8,4.8,50%,Green (Over 5% headroom),Winter
"52.56231105368011, -0.17587609497174084",EPN-S0000000H6005,C55 FUNTHAMS LN PRIMARY,0H6005,Funthams Ln Primary 11kV,17.3,22.9,43.35%,Green (Over 5% headroom),Summer
"52.870094954851474, 0.5566266144770108",EPN-S0000000H6009,G15 SNETTISHAM PRIMARY,0H6009,Snettisham Primary 11kV,15.4,19.2,52.6%,Green (Over 5% headroom),Summer
"52.82992183318369, 0.748826972750095",EPN-S0000000H6023,G04 COXFORD PRIMARY,0H6023,Coxford Primary 11kV,4.8,4.8,8.33%,Green (Over 5% headroom),Winter
"52.663333491835836, 0.45115563249572593",EPN-S0000000H6030,G51 WATLINGTON PRIMARY,0H6030,Watlington Primary 11kV,3.5,5.3,8.57%,Green (Over 5% headroom),Summer
"52.70967784027481, 0.7986396011553989",EPN-S0000000H6036,G70 KEMPSTONE PRIMARY,0H6036,Kempstone Primary 11kV,4.3,4.8,0%,Yellow (Between 5% overloaded and 5% headroom),No Season of Constraint
"52.797063273735645, 0.6563278104133563",EPN-S0000000H6040,G11 LT MASSINGHAM PRIMARY,0H6040,Lt Massingham Primary 11kV,2.4,3.4,33.33%,Green (Over 5% headroom),Summer
"52.42583483042962, -0.22491950230881416",EPN-S0000000H6050,C15 WOODWALTON PRIMARY,0H6050,Woodwalton Primary 11kV,11.0,14.4,34.55%,Green (Over 5% headroom),Summer
"52.44838796232209, 0.05949226853030915",EPN-S0000000H6053,C17 CHATTERIS PRIMARY,0H6053,Chatteris Primary 11kV,16.6,19.2,17.71%,Green (Over 5% headroom),Winter
"52.94338761188003, 0.7449958709062536",EPN-S0000000H6061,G03 BURNHAM THORPE PRIMARY,0H6061,Burnham Thorpe Primary 11kV,11.0,11.5,44.35%,Green (Over 5% headroom),Winter
"52.72925653454284, 0.23480214734449836",EPN-S0000000H6068,G47 STICKFAST LN PRIMARY,0H6068,Stickfast Ln Primary 11kV,2.3,3.6,-41.67%,Red (More than 5% overloaded),Winter
"52.53494257535392, -0.36247939503705406",EPN-S0000000H6076,C57 ORTON PRIMARY,0H6076,Orton Primary 11kV,26.9,28.1,45.91%,Green (Over 5% headroom),Winter
"52.674660430384904, 0.19680182526094722",EPN-S0000000H6077,C56 WALSOKEN GRID,0H6077,Walsoken Grid 11kV,17.3,23.0,44.51%,Green (Over 5% headroom),Summer
"52.70569160104614, 0.33093536005558016",EPN-S0000000H6078,G18 WIGGENHALL PRIMARY,0H6078,Wiggenhall Primary 11kV,1.9,2.9,-15.79%,Red (More than 5% overloaded),Summer
"51.607308697562125, 0.7433104940851557",EPN-S0000000H7009,C33 HAINAULT AV PRIMARY,0H7009,Hainault Av Primary 11kV,17.0,20.4,16.67%,Green (Over 5% headroom),Winter
"51.476839964616204, 0.25181876115661983",EPN-S0000000H7013,H33 PURFLEET PRIMARY,0H7013,Purfleet Primary 11kV T1 & T2,,,26.47%,Green (Over 5% headroom),Winter
"51.62858784771701, 0.19610525120013222",EPN-S0000000H7018,K25 NOAK HILL PRIMARY,0H7018,Noak Hill Primary 11kV,14.4,18.7,22.99%,Green (Over 5% headroom),Winter
"51.83222809153435, 0.15980160164209767",EPN-S0000000H7020,F42 THORLEY PRIMARY,0H7020,Thorley Primary 11kV,16.6,22.0,26.82%,Green (Over 5% headroom),Winter
"51.6189904316052, 0.4382047722131736",EPN-S0000000H7025,C25 BILLERICAY EAST PRIMARY,0H7025,Billericay East Primary 11kV,11.0,14.4,22.22%,Green (Over 5% headroom),Winter
"52.037556433769, -0.039197587512304156",EPN-S0000000H7031,F38 ROYSTON PRIMARY,0H7031,Royston Primary 11kV,34.6,44.2,38.73%,Green (Over 5% headroom),Summer
"51.77881139399676, 0.13198175242917523",EPN-S0000000H7032,F17 NEW HARLOW PRIMARY,0H7032,New Harlow Primary 11kV,57.6,73.2,30.56%,Green (Over 5% headroom),Summer
"51.90241779984968, 0.2309865136333839",EPN-S0000000H7035,F50 STANSTED AIRPORT MAIN PR,0H7035,,,,,,
"51.625807647562446, 0.5075367142196119",EPN-S0000000H7037,C41 WICKFORD PRIMARY,0H7037,Wickford Primary 11kV,14.4,18.7,6.94%,Green (Over 5% headroom),Summer
"51.5562249764972, 0.1382282549257238",EPN-S0000000H7041,K13 CHERRY TREE PRIMARY,0H7041,Cherry Tree Primary 11kV,13.8,18.7,33.33%,Green (Over 5% headroom),Summer
"51.48558763654743, 0.31854925041730053",EPN-S0000000H7043,H30 GRAYS PRIMARY,0H7043,Grays Primary 11kV,19.5,21.4,42.06%,Green (Over 5% headroom),Winter
"51.63263821538309, 0.2928911319627437",EPN-S0000000H7044,K08 HIGH ST PRIMARY,0H7044,High St Primary 11kV,17.3,21.6,12.72%,Green (Over 5% headroom),Summer
"51.60032341936059, 0.5810245407169501",EPN-S0000000H7056,C59 RAYLEIGH LOCAL PRIMARY,0H7056,Rayleigh Local Primary 11kV,17.3,21.9,44.75%,Green (Over 5% headroom),Winter
"51.54218636552788, 0.1549442031109512",EPN-S0000000H7058,K07 BECONTREE PRIMARY,0H7058,Becontree Primary 11kV,16.6,23.0,54.78%,Green (Over 5% headroom),Winter
"51.817555458799426, -0.06662006386365807",EPN-S0000000H7063,F28 EAST HERTFORD PRIMARY,0H7063,East Hertford Primary 11kV,13.8,18.7,19.79%,Green (Over 5% headroom),Winter
"51.6498917458054, -0.11885213932124389",EPN-S0000000H7074,G33 LONSDALE DR PRIMARY,0H7074,Lonsdale Dr Primary 11kV,14.4,18.7,37.5%,Green (Over 5% headroom),Summer
"51.623244835756836, -0.05714563352134313",EPN-S0000000H7087,G27 CENTRAL EDMONTON PRIMARY,0H7087,Central Edmonton Primary 11kV,28.8,36.5,36.46%,Green (Over 5% headroom),Summer
"51.524231448348424, 0.14562958480306754",EPN-S0000000H7090,K12 CHEQUERS PRIMARY,0H7090,Chequers Primary 11kV,19.2,25.0,43.75%,Green (Over 5% headroom),Summer
"51.70223874318457, -0.9024351793750451",EPN-S0000000H7091,F34 CHINNOR PRIMARY,0H7091,Chinnor Primary 11kV,11.0,14.4,61.82%,Green (Over 5% headroom),Summer
"51.597306998759635, 0.503205930064703",EPN-S0000000H7096,C30 GARDINERS LN PRIMARY,0H7096,Gardiners Ln Primary 11kV,18.3,18.3,32.79%,Green (Over 5% headroom),Winter
"51.55736928690282, 0.6080952681539641",EPN-S0000000H7097,C32 HADLEIGH PRI ESSEX,0H7097,Hadleigh Primary Essex 11kV,17.0,20.4,36.76%,Green (Over 5% headroom),Winter
"51.5502379559004, 0.3856397865664178",EPN-S0000000H7100,C61 LANGDON PRIMARY,0H7100,Langdon Primary 11kV,17.3,23.0,64.74%,Green (Over 5% headroom),Summer
"51.64040377935058, 0.005966326498775414",EPN-S0000000H7103,G34 NORTH CHINGFORD PRIMARY,0H7103,North Chingford Primary 11kV,14.4,18.7,47.22%,Green (Over 5% headroom),Summer
"51.899363839713324, 0.16742628751291588",EPN-S0000000H7110,F46 HANGER LEA PRIMARY,0H7110,Hanger Lea Primary 11kV,16.6,22.1,27.11%,Green (Over 5% headroom),Summer
"51.749668241601285, 0.09835791813490737",EPN-S0000000H7115,F27 SOUTH HARLOW PRIMARY,0H7115,South Harlow Primary 11kV,21.1,26.9,34.57%,Green (Over 5% headroom),Winter
"51.52040631939458, 0.172482550511022",EPN-S0000000H7131,K23 MANOR WAY PRIMARY,0H7131,Manor Way Primary 11kV,23.1,24.1,29.46%,Green (Over 5% headroom),Winter
"51.585434614722665, 0.21741436913566575",EPN-S0000000H7134,K32 STRAIGHT RD PRIMARY,0H7134,Straight Rd Primary 11kV,14.4,18.7,26.2%,Green (Over 5% headroom),Winter
"51.57551455165232, 0.5488900198462707",EPN-S0000000H7135,C37 THUNDERSLEY PRIMARY,0H7135,Thundersley Primary 11kV,16.6,18.3,13.66%,Green (Over 5% headroom),Winter
"51.62031605934095, 0.14251896652297283",EPN-S0000000H7142,K11 CHASE CROSS PRIMARY,0H7142,Chase Cross Primary 11kV,14.4,18.5,25.95%,Green (Over 5% headroom),Winter
"51.817205081965824, -0.05712511883146324",EPN-S0000000H7147,F51 GLAXO PRIMARY,0H7147,Glaxo Primary 11kV,17.3,22.5,38.15%,Green (Over 5% headroom),Summer
"51.78798881132481, 0.06179291724664317",EPN-S0000000H7148,F18 HARLOW WEST GRID,0H7148,Harlow West Grid 11kV,43.2,56.2,50.93%,Green (Over 5% headroom),Summer
"51.52161952946112, 0.4407945214265001",EPN-S0000000H7149,H36 RAINBOW LANE PRIMARY,0H7149,Rainbow Ln Primary 11kV,16.6,22.0,10.24%,Green (Over 5% headroom),Summer
"51.569203968417476, 0.18118207622329663",EPN-S0000000H7150,K30 ROMFORD PRIMARY,0H7150,Romford Primary 11kV,34.3,42.3,29.08%,Green (Over 5% headroom),Winter
"51.60097835413826, -0.11960465770255886",EPN-S0000000H7160,D07 WATSONS RD PRIMARY,0H7160,Watsons Rd Primary 11kV,27.4,36.5,41.24%,Green (Over 5% headroom),Summer
"51.84353606639408, -0.454176569780745",EPN-S0000000H8007,A35 CADDINGTON PRIMARY,0H8007,Caddington Primary 11kV,14.4,17.3,42.77%,Green (Over 5% headroom),Winter
"51.836183456474075, -0.8533231359440422",EPN-S0000000H8009,F54 COLDHARBOUR FARM PRIMARY,0H8009,Coldharbour Farm 11kV,11.5,14.4,73.04%,Green (Over 5% headroom),Summer
"51.872718400008715, -0.13666545993571266",EPN-S0000000H8012,J19 KNEBWORTH PRIMARY,0H8012,Knebworth Primary 11kV,9.2,12.5,13.04%,Green (Over 5% headroom),Summer
"51.635226704431666, -0.2927781401207191",EPN-S0000000H8018,E57 STONEGROVE PRIMARY,0H8018,Stonegrove Primary 11kV,18.3,20.4,45.1%,Green (Over 5% headroom),Winter
"51.660296397928654, -0.20712168145745607",EPN-S0000000H8020,E59 TAPSTER ST PRIMARY,0H8020,Tapster St Primary 11kV,26.9,34.9,56.13%,Green (Over 5% headroom),Summer
"51.85974030974518, -0.6431055978443962",EPN-S0000000H8028,A33 CHEDDINGTON PRIMARY,0H8028,Cheddington Primary 11kV,7.2,8.6,8.14%,Green (Over 5% headroom),Winter
"51.70900384025334, -0.4627569803489889",EPN-S0000000H8035,F08 KINGS LANGLEY PRIMARY,0H8035,Kings Langley Primary 11kV,14.4,17.3,15.03%,Green (Over 5% headroom),Winter
"51.93034825577329, -0.6738261925424799",EPN-S0000000H8037,A05 LEIGHTON BUZZARD PRIMARY,0H8037,Leighton Buzzard Primary 11kV,26.2,36.5,0.76%,Yellow (Between 5% overloaded and 5% headroom),Summer
"51.7519025537157, -0.7497067167526613",EPN-S0000000H8046,F22 WENDOVER PRIMARY,0H8046,Wendover Primary 11kV,14.4,17.3,40.46%,Green (Over 5% headroom),Winter
"51.56344615969496, -0.27071059482689797",EPN-S0000000H8050,E30 B E E PRIMARY,0H8050,Bee Primary 11kV,28.8,36.6,34.97%,Green (Over 5% headroom),Winter
"52.000132750523456, -0.1783782437602955",EPN-S0000000H8054,J12 LETCHWORTH FACTORY,0H8054,Letchworth Factory 11kV,22.5,25.0,41.6%,Green (Over 5% headroom),Winter
"51.7635873192063, -0.4887400774307407",EPN-S0000000H8065,F04 WARNERS END PRIMARY,0H8065,Warners End Primary 11kV,17.3,23.0,65.65%,Green (Over 5% headroom),Winter
"51.97725045922946, -0.41877778597580295",EPN-S0000000H8069,A03 BARTON PRIMARY,0H8069,Barton Primary 11kV,16.6,22.1,56.63%,Green (Over 5% headroom),Summer
"51.86844318967565, -0.7975130238785415",EPN-S0000000H8071,F24 BUCKINGHAM RD PRIMARY,0H8071,Buckingham Rd Primary 11kV,13.8,18.7,19.57%,Green (Over 5% headroom),Summer
"51.88990201604757, -0.4467434885656759",EPN-S0000000H8072,A28 CHAUL END PRIMARY,0H8072,Chaul End Primary 11kV,30.4,39.4,7.36%,Green (Over 5% headroom),Winter
"51.74154109795817, -0.24573566455619963",EPN-S0000000H8075,J31 HATFIELD PRIMARY,0H8075,Hatfield Primary 11kV,16.6,22.9,36.75%,Green (Over 5% headroom),Summer
"51.72399494514205, -0.1865716816817953",EPN-S0000000H8083,E61 WEST POTTERS BAR PRIMARY,0H8083,West Potters Bar Primary 11kV,19.2,23.0,47.4%,Green (Over 5% headroom),Summer
